,FIN,DVS,WSO,IRRAD,TEMP,RAIN,DAYS
161,0.0,0.7684824987543598,0.0,25770000.0,16.62,0.08399999999999999,162.0
162,0.0,0.8024735301444943,0.0,22650000.0,18.23,0.126,163.0
163,0.0,0.8443120951669159,0.0,22570000.0,18.44,0.04,164.0
164,0.0,0.8882807050323868,0.0,30300000.0,21.14,0.0,165.0
165,0.0,0.9405153836571999,0.0,28880000.0,20.08,0.001,166.0
166,0.0,0.9895061036372697,0.0,29960000.0,15.94,0.0,167.0
167,0.0,1.0,1.4280603094314521,29850000.0,16.88,0.0,168.0
168,0.0,1.0124481537683359,3.57652254349167,29300000.0,18.75,0.0,169.0
169,0.0,1.0275430998145338,5.56880680791361,25190000.0,18.72,0.057999999999999996,170.0
170,0.0,1.0431703127634464,7.664585899445845,5140000.0,15.23,0.53,171.0
171,0.0,1.0533220578317317,8.549025380202977,9970000.0,11.8,0.284,172.0
172,0.0,1.0590428469060869,10.114849410634665,27490000.0,17.34,0.001,173.0
173,0.0,1.0721447690102852,13.151137683890253,30360000.0,20.84,0.0,174.0
174,0.0,1.0898995742707809,15.37159007229885,27680000.0,23.12,0.003,175.0
175,0.0,1.1106789538020572,17.341322972418407,30460000.0,22.32,0.0,176.0
176,0.0,1.130006849603777,19.38989491645328,14380000.0,19.88,0.053000000000000005,177.0
177,0.0,1.1489066978587086,21.123333204250685,29970000.0,21.22,0.025,178.0
178,0.0,1.1671072542572922,23.307080262591583,27990000.0,22.77,0.062,179.0
179,0.0,1.187291245152588,25.21523247538071,23670000.0,16.02,0.10600000000000001,180.0
180,0.0,1.197488513741359,27.32854382868539,29260000.0,16.26,0.001,181.0
181,0.0,1.2089711895127297,29.875355711129547,24020000.0,20.83,0.0,182.0
182,0.0,1.2266412704434329,31.751391547544433,29850000.0,21.33,0.0,183.0
183,0.0,1.2455221505648288,33.681252299923166,27550000.0,21.18,0.0,184.0
184,0.0,1.263851690271455,35.5919699694243,29920000.0,22.95,0.0,185.0
185,0.0,1.283715751981116,37.19255280171254,28910000.0,22.0,0.001,186.0
186,0.0,1.3027471126285617,38.83113695064237,29160000.0,18.18,0.0,187.0
187,0.0,1.3174606938121731,40.859844017495455,28880000.0,19.01,0.0,188.0
188,0.0,1.3332455530264709,42.83537286056853,26160000.0,19.14,0.0,189.0
189,0.0,1.348650838813016,44.772882086376455,28940000.0,20.56,0.0,190.0
190,0.0,1.366028178216152,46.52548362950069,28240000.0,22.75,0.0,191.0
191,0.0,1.3850869372787047,48.123668542620734,24760000.0,21.06,0.001,192.0
192,0.0,1.4045406550328776,49.63479093115967,27580000.0,20.56,0.0,193.0
193,0.0,1.4222012518968128,51.313712095631445,27190000.0,20.73,0.0,194.0
194,0.0,1.440119499241274,53.099057176402354,27650000.0,23.02,0.0,195.0
195,0.0,1.459345599393019,54.661239021073456,27810000.0,26.23,0.0,196.0
196,0.0,1.4815329413252396,55.66177255099664,27010000.0,27.68,0.001,197.0
197,0.0,1.5046502486933058,56.47476488913839,25990000.0,27.37,0.0,198.0
198,0.0,1.5277711389310398,57.30279159809929,25120000.0,25.61,0.002,199.0
199,0.0,1.5504083417636143,58.49396941360685,26890000.0,22.65,0.0,200.0
200,0.0,1.5706726310908778,60.49557393397058,24600000.0,20.49,0.0,201.0
201,0.0,1.5890448490979592,63.01683888165901,26520000.0,18.27,0.0,202.0
202,0.0,1.6038703422694311,66.37962632674085,24450000.0,21.42,0.0,203.0
203,0.0,1.6220886022593148,68.98398570285669,22710000.0,25.37,0.0,204.0
204,0.0,1.6438908910807615,70.85975500900605,22490000.0,27.03,0.004,205.0
205,0.0,1.6668903852638672,72.166848891659,24620000.0,27.33,0.001,206.0
206,0.0,1.690855357443938,72.9862775994348,24620000.0,23.69,0.003,207.0
207,0.0,1.7121300160175343,74.95284151662794,24050000.0,22.99,0.007000000000000001,208.0
208,0.0,1.7325439428426903,77.21376373500574,20800000.0,23.3,0.056999999999999995,209.0
209,0.0,1.7532811709661096,79.60156144341119,20400000.0,23.08,0.004,210.0
210,0.0,1.775252170797504,82.82317106277713,24680000.0,25.15,0.0,211.0
211,0.0,1.7970089360984651,84.74893330428975,23830000.0,26.88,0.023,212.0
212,0.0,1.8201656550328775,85.53386375115696,21050000.0,24.31,0.041999999999999996,213.0
213,0.0,1.842844166245152,87.34400669289465,26360000.0,22.91,0.02,214.0
214,0.0,1.8636638003709318,89.49923791674017,25220000.0,21.28,0.012,215.0
215,0.0,1.8829575535322873,91.80283444449933,23400000.0,22.16,0.16,216.0
216,0.0,1.902080593491822,93.80082347606427,14250000.0,21.17,0.064,217.0
217,0.0,1.9211703338391495,96.13935243228642,24560000.0,19.12,0.0,218.0
218,0.0,1.938345346484572,98.96264147684174,24470000.0,22.83,0.0,219.0
219,0.0,1.957761549485752,100.47954937564799,24510000.0,24.69,0.0,220.0
220,0.0,1.979305239419996,101.01006314018618,22400000.0,27.02,0.018,221.0
221,0.0,2.0,101.01006314018618,21000000.0,25.75,0.020999999999999998,222.0
222,0.0,2.0268110537387645,101.01006314018618,22870000.0,24.19,0.001,223.0
223,0.0,2.0518383056033658,100.12859590235428,22070000.0,19.44,0.001,224.0
224,0.0,2.070478580990629,100.4540164499739,22510000.0,18.33,0.0,225.0
225,0.0,2.087772757697456,101.19264687399944,22500000.0,19.81,0.0,226.0
226,0.0,2.106528016829221,101.40855955683062,23100000.0,22.31,0.0,227.0
227,0.0,2.1286091986995594,100.68631698436927,22340000.0,23.93,0.0,228.0
228,0.0,2.1529063874545797,99.43573292926995,22450000.0,23.06,0.0,229.0
229,0.0,2.176832807420156,98.18401647885865,21640000.0,20.68,0.0,230.0
230,0.0,2.198009299101166,97.46807996329815,22390000.0,19.4,0.0,231.0
231,0.0,2.2168619716963085,97.23020374633735,21790000.0,20.76,0.0,232.0
232,0.0,2.2363721552878175,96.74897830225093,22700000.0,23.43,0.0,233.0
233,0.0,2.2598888410785998,95.33452372861261,20780000.0,22.81,0.0,234.0
234,0.0,2.284194994262765,93.89499413113622,22230000.0,18.94,0.002,235.0
235,0.0,2.302375573723465,93.04670869568973,21570000.0,18.08,0.0,236.0
236,0.0,2.319724971313826,92.48700166595279,22060000.0,20.85,0.0,237.0
237,0.0,2.340025100401606,91.38467189995916,20830000.0,23.53,0.0,238.0
238,0.0,2.3636135016255495,89.85533057853198,20240000.0,19.98,0.003,239.0
239,0.0,2.383277873398355,88.50086459993679,21510000.0,16.69,0.003,240.0
240,0.0,2.3982606616943962,87.86936266298396,21350000.0,18.98,0.0,241.0
241,0.0,2.416103461464907,86.71497895333584,10610000.0,17.11,0.21800000000000003,242.0
242,0.0,2.431258366800535,85.54212435229826,15150000.0,17.8,0.003,243.0
243,0.0,2.449847007075922,84.86152681157243,20010000.0,17.02,0.008,244.0
244,0.0,2.466163702428762,83.86606173222329,21470000.0,17.1,0.0,245.0
245,0.0,2.481452715624402,82.85777411439152,20600000.0,19.67,0.0,246.0
246,0.0,2.502456731688659,81.23308988619702,19830000.0,21.65,0.0,247.0
247,0.0,2.5253404092560716,79.58447993974215,16050000.0,19.08,0.267,248.0
248,0.0,2.543215480971505,77.75078594589475,17460000.0,13.73,0.221,249.0
249,0.0,2.553224086823484,76.41171411692625,17210000.0,16.39,0.049,250.0
250,0.0,2.567268837253777,75.58743840150655,17510000.0,18.27,0.008,251.0
251,0.0,2.584885016255498,73.7503650599996,19690000.0,16.29,0.003,252.0
252,0.0,2.5997645343277873,71.8627124315165,18830000.0,15.5,0.008,253.0
253,0.0,2.6124409542933638,69.91265759744036,16610000.0,14.03,0.008,254.0
254,0.0,2.622690524000765,67.70669624196972,18260000.0,14.11,0.002,255.0
255,0.0,2.6335181200994455,67.70669624196972,19090000.0,14.09,0.0,256.0
256,0.0,2.6447720644482695,67.70669624196972,16880000.0,14.73,0.002,257.0
257,0.0,2.656830895008606,67.70669624196972,16600000.000000002,17.59,0.0,258.0
258,0.0,2.6739751864601264,67.70669624196972,18680000.0,19.08,0.0,259.0
259,0.0,2.6933261617900173,67.70669624196972,18250000.0,20.71,0.014000000000000002,260.0
260,0.0,2.7145811818703387,67.70669624196972,17950000.0,21.78,0.0,261.0
261,0.0,2.7375406387454584,67.70669624196972,7620000.0,19.64,0.16499999999999998,262.0
262,0.0,2.757287483266399,67.70669624196972,9290000.0,17.21,0.013000000000000001,263.0
263,0.0,2.770497466054695,67.70669624196972,14740000.0,11.89,0.13,264.0
264,0.0,2.7776011187607574,67.70669624196972,5610000.0,9.83,0.7030000000000001,265.0
265,0.0,2.7813841078600117,67.70669624196972,9750000.0,8.44,0.273,266.0
266,0.0,2.783554575444636,67.70669624196972,16149999.999999998,8.66,0.005,267.0
267,0.0,2.7870557228915667,67.70669624196972,12660000.0,10.7,0.026000000000000002,268.0
268,0.0,2.7940994932109393,67.70669624196972,10140000.0,11.26,0.002,269.0
269,0.0,2.801344903423217,67.70669624196972,15390000.0,9.8,0.0,270.0
270,0.0,2.8067780646395106,67.70669624196972,15090000.0,8.51,0.0,271.0
271,0.0,2.8111094377510044,67.70669624196972,15500000.0,9.65,0.0,272.0
272,0.0,2.8166822050105185,67.70669624196972,14370000.0,12.27,0.0,273.0
273,0.0,2.825175822336967,67.70669624196972,16090000.0,13.61,0.0,274.0
274,0.0,2.8353689759036147,67.70669624196972,15430000.0,15.1,0.0,275.0
275,0.0,2.848460628227195,67.70669624196972,15490000.0,16.73,0.0,276.0
276,0.0,2.8658222174411936,67.70669624196972,10320000.0,14.05,0.006,277.0
277,0.0,2.8759340935169253,67.70669624196972,11140000.0,11.34,0.001,278.0
278,0.0,2.882385613884108,67.70669624196972,8050000.000000001,13.36,0.002,279.0
279,0.0,2.89380988238669,67.70669624196972,14780000.0,15.91,0.0,280.0
280,0.0,2.909012119908205,67.70669624196972,14390000.0,17.08,0.034,281.0
281,0.0,2.9261040590935177,67.70669624196972,13490000.0,14.83,0.013000000000000001,282.0
282,0.0,2.938849325874929,67.70669624196972,7200000.0,13.35,0.36,283.0
283,0.0,2.9495033706253593,67.70669624196972,6920000.0,10.0,0.095,284.0
284,0.0,2.9530030837636265,67.70669624196972,7370000.0,10.05,0.10600000000000001,285.0
285,0.0,2.9579846768024485,67.70669624196972,8570000.0,9.12,0.053000000000000005,286.0
286,0.0,2.9598158108624983,67.70669624196972,10300000.0,7.07,0.040999999999999995,287.0
287,0.0,2.9608805459934984,67.70669624196972,13040000.0,6.5,0.004,288.0
288,0.0,2.96264880952381,67.70669624196972,11980000.0,5.43,0.001,289.0
289,0.0,2.9633007028112455,67.70669624196972,10620000.0,5.58,0.007000000000000001,290.0
290,0.0,2.964091724039014,67.70669624196972,11150000.0,5.12,0.008,291.0
291,0.0,2.9646127366609303,67.70669624196972,10580000.0,3.51,0.005,292.0
292,0.0,2.9647983601070957,67.70669624196972,11470000.0,3.44,0.008,293.0
293,0.0,2.9650170921782375,67.70669624196972,11660000.0,4.6,0.0,294.0
294,0.0,2.9656861971696316,67.70669624196972,11200000.0,5.23,0.006,295.0
295,0.0,2.9665245505832862,67.70669624196972,2950000.0,6.03,0.05500000000000001,296.0
296,0.0,2.9676323149741832,67.70669624196972,7150000.0,7.72,0.008,297.0
297,0.0,2.969805651176134,67.70669624196972,6250000.0,10.25,0.22400000000000003,298.0
298,0.0,2.9748902753872644,67.70669624196972,8279999.999999999,6.46,0.155,299.0
299,0.0,2.9750570137693644,67.70669624196972,7930000.0,5.01,0.172,300.0
300,0.0,2.975369693057947,67.70669624196972,9970000.0,5.8,0.017,301.0
301,0.0,2.9757279116465876,67.70669624196972,9120000.0,3.44,0.005,302.0
302,0.0,2.975745840504878,67.70669624196972,6960000.0,4.35,0.019,303.0
303,0.0,2.975945926563398,67.70669624196972,9390000.0,0.26,0.049,304.0
304,0.0,2.975945926563398,67.70669624196972,3540000.0,0.64,0.7150000000000001,305.0
305,0.0,2.975945926563398,67.70669624196972,4710000.0,9.83,0.49000000000000005,306.0
306,0.0,2.979002438324729,67.70669624196972,6380000.0,8.41,0.1,307.0
307,0.0,2.9806855995410224,67.70669624196972,10260000.0,6.86,0.040999999999999995,308.0
308,0.0,2.9822497131382684,67.70669624196972,8530000.0,4.94,0.007000000000000001,309.0
309,0.0,2.982736660929433,67.70669624196972,5980000.0,6.3,0.046,310.0
310,0.0,2.984169774335438,67.70669624196972,9370000.0,6.37,0.034,311.0
311,0.0,2.9849385637789263,67.70669624196972,6100000.0,3.71,0.137,312.0
